feature,Overall,type
Lachnospiraceae_FCS020_group,2.61,binary
Herbinix,2.41,binary
Bacteroides_pectinophilus_group,9.96E-33,binary
Harryflintia,0,binary
Escherichia-Shigella,0,binary
Acidaminococcus,0,binary
Methanobrevibacter,0,binary
Parasutterella,0,binary
Veillonella,0,binary
Coprobacter,0,binary
Enterococcus,0,binary
Epulopiscium,0,binary
Tropicimonas,0,binary
UCG-002,0,binary
Erysipelotrichaceae_UCG-003,0,binary
Monoglobus,0,binary
Erysipelotrichaceae,0,binary
Fusobacterium,0,binary
Cloacibacillus,0,binary
Lachnospiraceae_NK3A20_group,0,binary
