feature,Overall,type
Coprococcus,4.8,binary
CAG-352,3.246,binary
Family_XIII_UCG-001,2.586,binary
Anaerofustis,2,binary
Sutterella,1.905,binary
Butyricimonas,1.778,binary
Dorea,1.778,binary
UCG-004,1.732,binary
ASF356,1.529,binary
NK4A214_group,1.422,binary
Butyrivibrio,0,binary
Gastranaerophilales,0,binary
Agathobacter,0,binary
Clostridium_methylpentosum_group,0,binary
Cloacibacillus,0,binary
Actinomyces ,0,binary
Ruminococcaceae,0,binary
Eubacterium_ruminantium_group,0,binary
GCA-9000667,0,binary
Fusicatenibacter,0,binary
