feature,Overall,type
Butyricimonas,0.693,binary
Marvinbryantia,0.676,binary
Candidatus_Soleaferrea,0.6735,binary
Parasutterella,0.6599,binary
Lachnospiraceae_FCS020_group,0.6599,binary
Monoglobus,0.6514,binary
Cloacibacillus,0.6463,binary
Anaerotruncus,0.6395,binary
UCG-002,0.6386,binary
Agathobacter,0.6386,binary
UCG-007,0.6352,binary
Blautia,0.6335,binary
Solobacterium,0.6327,binary
Slackia,0.6301,binary
Erysipelotrichaceae_UCG-003,0.6293,binary
Lachnospiraceae_NC2004_group,0.6284,binary
Roseburia,0.6276,binary
Sutterella,0.6259,binary
Asteroleplasma,0.6241,binary
Lachnospiraceae_ND3007_group,0.6173,binary
