feature,Overall,type
Lachnospiraceae_UCG_001,1.1778,binary
Coprobacter,1.0435,binary
vadinBE97,1.0151,binary
Eggerthella,0.954,binary
Oscillibacter,0.853,binary
Phascolarctobacterium,0.7432,binary
Defluviitaleaceae_UCG_011,0.6876,binary
Cellulosilyticum,0.6817,binary
UBA1819,0.6694,binary
Prevotella,0.6443,binary
CHKCI002,0.5905,binary
Ruminococcus_gnavus_group,0.5718,binary
Lachnoclostridium,0.536,binary
Eubacterium_eligens_group,0.5278,binary
Lachnospira,0.5238,binary
Family_XIII_AD3011_group,0.5053,binary
Candidatus_Saccharimonas,0.4939,binary
Eubacterium_ruminantium_group,0.4734,binary
Mogibacterium,0.4696,binary
Alloprevotella,0.4583,binary
