feature,Overall,type
Prevotellaceae_NK3B31_group,1.13091418385536,binary
Olsenella,0.764798337529819,binary
Candidatus_Tenderia,0.719375922411975,binary
CAG-352,0.635243934234311,binary
RF39,0.612471655328797,binary
Candidatus_Arthromitus,0.565175129881012,binary
Pygmaiobacter,0.564600840336134,binary
Howardella,0.559449156006488,binary
Muribaculaceae,0.558037937294902,binary
Lachnospira,0.536832019821989,binary
Clostridia_UCG_014,0.499399759903962,binary
Anaerococcus,0.478485040154869,binary
Anaerovorax,0.471059294588706,binary
Sericytochromatia,0.460459183673469,binary
Pseudoflavonifractor,0.445217551903704,binary
Clostridium_methylpentosum_group,0.434878846643552,binary
CHKCI002,0.433065400073072,binary
Collinsella,0.422120363296834,binary
Dorea,0.417179144385027,binary
Ruminococcus_gauvreauii_group,0.403361344537815,binary
