Sample,UCG-002,DTU089,Candidatus_Soleaferrea,Roseburia,Negativibacillus,Agathobacter, Butyricimonas, Lachnospiraceae_FCS020_group, Asteroleplasma, Lachnospiraceae_ND3007_group,Eubacterium_ventriosum_group,Ruminococcus_torques_group,Herbinix,Collinsella,Moryella,UCG-005,Lachnospiraceae_UCG-004,Monoglobus,Bifidobacterium,Sutterella
PYM000,5.77806595431447,-0.877322402322546,-0.877322402322546,7.16817389753391,3.37708272001453,5.97180706029551,3.729488101406,-0.877322402322546,-0.877322402322546,2.15920786270921,3.47749012681677,5.04389569483666,-0.877322402322546,4.54585723183544,-0.877322402322546,4.66921243465414,5.02374771931385,3.18345496039705,5.27445384820762,4.02700099490115
PYM101,6.11201280541835,-0.804167984081404,-0.804167984081404,5.71402256854071,2.34035325382275,5.4762381065188,2.70149037132444,-0.804167984081404,-0.804167984081404,2.34035325382275,2.81593149585586,3.17538213571716,-0.804167984081404,4.27411256459887,-0.804167984081404,4.87855842229612,4.06500703022325,2.81593149585586,6.01760219020166,3.37951020920952
PYM102,6.40274405286513,1.39389949661827,1.39389949661827,7.62009479757402,3.99294532625369,6.12977856923857,3.99294532625369,-0.965465656965312,1.13722507423931,2.76582598242655,3.76734726008548,3.67921819979246,-0.965465656965312,4.23139640157969,2.03865433696827,5.02884882714475,4.32015501739769,2.87452612951693,5.35258181710723,2.57679151595807
PYM103,7.0186585417817,1.84115511404312,1.53187849707843,6.15269440621166,3.7461657667643,5.51930804080463,3.24215489860132,-0.833624888393841,-0.833624888393841,2.79517842637435,2.9816059395614,3.54996384320585,-0.833624888393841,4.57326055992284,-0.833624888393841,5.09435831448297,4.45387277421531,2.68707121039928,5.78359548239023,2.68707121039928
PYM107,6.54746853032626,-1.04550896908573,-1.04550896908573,5.9457645643887,1.10157907227133,6.59095921780803,3.41670061048844,-1.04550896908573,5.92704605032968,2.67582425228541,1.73453886554386,3.35679678155901,-1.04550896908573,3.75817051003314,1.87978782235683,5.95728816856121,4.55526685042265,3.35679678155901,5.36517835703592,1.35962019794727
PYM110,7.34340952427439,-1.1615019688124,-1.1615019688124,6.94500251116757,2.52939407471493,6.10615908105323,4.23978375000378,0.904930578189617,2.26877758244633,2.40755202894926,4.25010003309597,4.30985794206476,-1.1615019688124,4.34780056064209,1.36377351316018,5.89435356142379,5.30009920420808,4.39328982531518,6.30611938333655,1.67711272961359
PYM113,8.73541630111755,2.70096298922921,1.68015399193329,6.39992430987409,5.74350899224983,5.85506686287079,3.34048538435882,1.98402026759866,-1.25544122040954,2.56406670462822,3.98229483684044,-1.25544122040954,-1.25544122040954,4.40943560580305,1.55417955979948,5.97498135762905,5.22785415110528,4.9001336161648,6.03603809076538,1.89262092957426
PYM201,7.53810326533104,2.36126195593234,0.569180469819276,7.12918156791874,4.18720845105117,6.71375168272393,4.05591024104655,1.55025124521563,0.917600828946696,3.50958982222553,4.11773533208735,3.31574405296538,-1.2245132813546,3.79507189412175,-1.2245132813546,6.96399275713521,4.44249445966885,4.60232465288522,6.3990014355036,1.17549193181785
PYM202,7.61700039618373,2.19631956115851,1.16579286122677,6.96340926438537,3.21471472861815,6.38538751851014,5.0756924015767,2.78631283516689,2.41239248201446,3.15488501627505,3.53497630260352,4.01203123946577,-1.1495813878836,3.6351838691346,-1.1495813878836,6.00605062409083,4.55408556854947,3.6159296146613,4.97105326067495,3.09124662932716
PYM203,6.55144001085286,3.1783398328543,2.14163931181069,7.04077433704922,3.38354763975889,6.77449474724752,4.00722100725535,-1.1681223929366,-1.1681223929366,3.41399956332992,3.67630947692043,3.62906535854017,-1.1681223929366,3.38354763975889,2.33564697185029,5.30238331311208,4.76189835484855,4.30585860106658,4.3996687112699,4.05574188398439
PYM205,6.23100948446879,-1.17381537322908,-1.17381537322908,7.80399656550965,2.99972675080983,5.71609275795041,3.62619681055746,-1.17381537322908,0.604327303341679,1.72848415548768,3.9368557341983,3.58487425058731,-1.17381537322908,2.78981204748783,-1.17381537322908,6.11871076686146,4.2080594297428,3.62619681055746,6.78263855411943,2.24434131214371
PYM209,6.88347230034312,2.12246729547009,0.923489478904646,6.43583376866389,3.22380288773644,7.98831457005647,3.7860711346498,-1.1073282595481,2.12246729547009,2.79563338346676,2.99668337770192,4.02088058252225,-1.1073282595481,3.7693910573753,2.12246729547009,6.14793858980441,4.95439370262652,3.7693910573753,4.49193095236749,2.79563338346676
PYM210,6.51301812868061,2.54647975246867,1.29138626183905,7.34158203009937,3.2593944812427,7.91028226185818,2.3295834184849,-1.13971979309763,-1.13971979309763,3.0070387635507,5.51142979117541,4.88436982128161,-1.13971979309763,5.60112266456597,-1.13971979309763,5.42026191450952,5.36361857044966,3.89709595272897,5.93418762841327,2.3295834184849
PYM301,7.72098993138543,-1.16237706954018,-1.16237706954018,7.06181058917238,3.40838482259266,6.29025453392778,4.48412883772716,2.09736155723028,-1.16237706954018,3.13968028490874,3.65739658598001,3.98363888538189,-1.16237706954018,4.75061527985222,-1.16237706954018,6.30856912379199,4.75061527985222,4.17598600788351,6.19618978370945,2.45998292106341
PYM302,7.49708360867245,1.96234070782713,0.604406531730167,6.64904475598112,4.55875241798075,6.03342881161762,4.02888786302232,2.63275107872347,-1.13962907317048,3.22837856227955,3.36778781116428,2.45501842899536,-1.13962907317048,2.45501842899536,1.72379034337632,6.52197892146927,4.51839953403415,4.23461818185881,5.99090254333084,2.87286159333349
PYM305,6.44376165663662,1.91140604376124,-1.10495869505928,7.62115194592992,2.82547898041706,6.06023577811662,4.44097632304344,-1.10495869505928,-1.10495869505928,3.61312864874219,2.76947490459493,2.87851224223647,-1.10495869505928,2.42978353183234,2.50758015939375,5.53335800109728,5.32406391941768,3.61312864874219,4.38532016660916,3.98191627934361
