Genus,Group
UCG-002,Good HEI
DTU089,Good HEI
Candidatus_Soleaferrea,Good HEI
Roseburia,Good HEI
Negativibacillus,Good HEI
Agathobacter,Good HEI
Butyricimonas,Poor HEI
Lachnospiraceae_FCS020_group,Poor HEI
Asteroleplasma,Poor HEI
Lachnospiraceae_ND3007_group,Poor HEI
Eubacterium_ventriosum_group,Poor HEI
Ruminococcus_torques_group,Poor HEI
Herbinix,Poor HEI
Collinsella,Poor HEI
Moryella,Poor HEI
UCG-005,Poor HEI
Lachnospiraceae_UCG-004,Poor HEI
Monoglobus,Poor HEI
Bifidobacterium,Poor HEI
Sutterella,Poor HEI
