Genus,Group
Prevotellaceae_NK3B31_group,Low HPF consumption
Olsenella,Low HPF consumption
Candidatus_Tenderia,Low HPF consumption
Candidatus_Arthromitus,Low HPF consumption
Pygmaiobacter,Low HPF consumption
Howardella,Low HPF consumption
Muribaculaceae,Low HPF consumption
Lachnospira,Low HPF consumption
Anaerovorax,Low HPF consumption
Sericytochromatia,Low HPF consumption
Pseudoflavonifractor,Low HPF consumption
CHKCI002,Low HPF consumption
CAG-352,High HPF consumption
RF39,High HPF consumption
Clostridia_UCG_014,High HPF consumption
Anaerococcus,High HPF consumption
Clostridium_methylpentosum_group,High HPF consumption
Collinsella,High HPF consumption
Dorea,High HPF consumption
Ruminococcus_gauvreauii_group,High HPF consumption
